"FA.15",,"x","x","x","x",,,,,,"x",,,,"x",,"x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.16",,"x","x","x","x",,,,,,"x",,,,"x",,"x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.01",,"x","x","x","x",,,,,,"x",,,,,,,,"x",,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.02",,"x","x","x","x",,,,,,"x",,,,,,,,"x",,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.03",,"x","x","x","x",,,,,,"x",,,,,,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.06",,"x","x","x","x",,,,,,"x",,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.07",,"x","x","x","x",,,,,,"x",,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.08",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.09",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.10",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
